id,customer_message,intent,expected_resolution,should_escalate,conversation_id,source
149,"My company has Amazon Business Prime, does that cover my personal home address?",subscription_prime_issue,Explain separation between Business Prime organization and personal accounts.,AUTO_HANDLE,gold_amzn_0149,curated_evaluation_benchmark
150,"I was promised a 1-month free Prime extension due to late deliveries, where is it?",subscription_prime_issue,Discretionary courtesy credit verification requiring support record check.,ESCALATE,gold_amzn_0150,curated_evaluation_benchmark
151,Will this OtterBox case for iPhone 14 also fit an iPhone 15?,product_inquiry_availability,Check and explain dimensional/camera cutout differences between phone generations.,AUTO_HANDLE,gold_amzn_0151,curated_evaluation_benchmark
152,When will the Sony WH-1000XM5 headphones in Silver be restocked?,product_inquiry_availability,Explain stock availability and suggest using 'Email Me When Available' feature.,AUTO_HANDLE,gold_amzn_0152,curated_evaluation_benchmark
153,Is this product sold directly by Amazon.com or an independent third-party seller?,product_inquiry_availability,Guide customer to inspect 'Ships from' and 'Sold by' on the product buy box.,AUTO_HANDLE,gold_amzn_0153,curated_evaluation_benchmark
154,What is the exact height and width of this bookshelf assembled?,product_inquiry_availability,Direct customer to the Technical Details / Product Dimensions section on product page.,AUTO_HANDLE,gold_amzn_0154,curated_evaluation_benchmark
155,Does this wireless gaming mouse come with the USB dongle receiver in the box?,product_inquiry_availability,Confirm included accessories from the manufacturer package contents specification.,AUTO_HANDLE,gold_amzn_0155,curated_evaluation_benchmark
156,Is this food processor 110V for North America or 220V dual voltage?,product_inquiry_availability,Check electrical voltage specifications in product overview.,AUTO_HANDLE,gold_amzn_0156,curated_evaluation_benchmark
157,Does the manufacturer warranty apply when buying this watch from a third-party seller?,product_inquiry_availability,Explain authorized dealer versus unauthorized marketplace seller warranty caveats.,AUTO_HANDLE,gold_amzn_0157,curated_evaluation_benchmark
158,Can this espresso maker use pre-ground coffee or only whole espresso beans?,product_inquiry_availability,Clarify brewing mechanism and filter basket compatibility.,AUTO_HANDLE,gold_amzn_0158,curated_evaluation_benchmark
159,Are these sunglasses guaranteed authentic Ray-Ban or could they be counterfeit?,product_inquiry_availability,Reassure Amazon anti-counterfeiting policy and verify 'Sold by Amazon' authenticity.,AUTO_HANDLE,gold_amzn_0159,curated_evaluation_benchmark
160,What is the weight capacity of this steel office chair?,product_inquiry_availability,Provide maximum weight rating from manufacturer specifications.,AUTO_HANDLE,gold_amzn_0160,curated_evaluation_benchmark
161,Can I pre-order the upcoming video game release and will I get release-day delivery?,product_inquiry_availability,Explain Pre-order Price Guarantee and Release-Day Delivery terms.,AUTO_HANDLE,gold_amzn_0161,curated_evaluation_benchmark
162,Are the dimensions listed for the package or for the actual product itself?,product_inquiry_availability,Distinguish between Package Dimensions and Item Dimensions in spec table.,AUTO_HANDLE,gold_amzn_0162,curated_evaluation_benchmark
163,Does this TV mount support VESA 400x400 pattern?,product_inquiry_availability,Check VESA mounting bracket compatibility standards on product page.,AUTO_HANDLE,gold_amzn_0163,curated_evaluation_benchmark
164,Is this protein powder certified gluten-free and third-party tested?,product_inquiry_availability,Refer to allergen disclaimer and product label certifications.,AUTO_HANDLE,gold_amzn_0164,curated_evaluation_benchmark
165,Why is the price of this laptop $200 cheaper on Amazon than Best Buy?,product_inquiry_availability,Explain dynamic marketplace pricing and seller promotions.,AUTO_HANDLE,gold_amzn_0165,curated_evaluation_benchmark
166,Can I use this vacuum cleaner on high-pile shag carpets?,product_inquiry_availability,Consult product user manual recommendations regarding surface compatibility.,AUTO_HANDLE,gold_amzn_0166,curated_evaluation_benchmark
167,Does this outdoor camera require a monthly cloud subscription to store footage?,product_inquiry_availability,Clarify local SD card storage options versus cloud plan requirements.,AUTO_HANDLE,gold_amzn_0167,curated_evaluation_benchmark
168,Is there a difference between the US version and the International version of this phone?,product_inquiry_availability,Explain warranty coverage and cellular frequency band differences.,AUTO_HANDLE,gold_amzn_0168,curated_evaluation_benchmark
169,When will the Black Friday deal pricing on Kindle Paperwhite become active?,product_inquiry_availability,Advise that promotional deals go live according to scheduled event timers.,AUTO_HANDLE,gold_amzn_0169,curated_evaluation_benchmark
170,Does this jacket run true to size or should I size up for layering?,product_inquiry_availability,Suggest consulting customer sizing widget and review fit feedback.,AUTO_HANDLE,gold_amzn_0170,curated_evaluation_benchmark
171,Is this replacement refrigerator water filter OEM certified by Samsung?,product_inquiry_availability,Check NSF certification and OEM genuine branding.,AUTO_HANDLE,gold_amzn_0171,curated_evaluation_benchmark
172,Can I request custom engraving on this jewelry piece ordered through Amazon?,product_inquiry_availability,Explain customization options if 'Customize Now' button is present.,AUTO_HANDLE,gold_amzn_0172,curated_evaluation_benchmark
173,Will this car battery jump starter work on an 8-cylinder diesel truck engine?,product_inquiry_availability,Check peak amperage and engine liter rating specifications.,AUTO_HANDLE,gold_amzn_0173,curated_evaluation_benchmark
174,Does the mattress arrive rolled in a box or fully expanded?,product_inquiry_availability,Confirm bed-in-a-box compressed shipping and expansion timeframe.,AUTO_HANDLE,gold_amzn_0174,curated_evaluation_benchmark
175,Are software license keys emailed instantly upon digital purchase?,product_inquiry_availability,Direct customer to 'Your Games and Software Library' for instant digital keys.,AUTO_HANDLE,gold_amzn_0175,curated_evaluation_benchmark
176,Your delivery driver literally threw my box from 15 feet away onto my stone porch!,general_complaint_feedback,Serious delivery misconduct complaint requiring logistics driver dispatch report.,ESCALATE,gold_amzn_0176,curated_evaluation_benchmark
177,I have contacted support 5 times regarding the same issue and received 5 conflicting answers.,general_complaint_feedback,Severe customer service failure requiring senior supervisory resolution.,ESCALATE,gold_amzn_0177,curated_evaluation_benchmark
178,The delivery van backed up over my lawn and destroyed our sprinkler head!,general_complaint_feedback,Property damage claim requiring Amazon Logistics Claims department investigation.,ESCALATE,gold_amzn_0178,curated_evaluation_benchmark
179,An agent on chat was extremely disrespectful and closed the chat window in my face.,general_complaint_feedback,Agent conduct grievance requiring supervisor review and coaching audit.,ESCALATE,gold_amzn_0179,curated_evaluation_benchmark
180,Your company is holding my money hostage for over a month and I am consulting my attorney.,general_complaint_feedback,Legal escalation and protracted financial withholding requiring specialist team.,ESCALATE,gold_amzn_0180,curated_evaluation_benchmark
181,The driver refused to follow the delivery instructions and left high-value goods on the sidewalk.,general_complaint_feedback,Safety and negligence complaint requiring driver feedback citation.,ESCALATE,gold_amzn_0181,curated_evaluation_benchmark
182,I was promised a supervisor callback within 2 hours yesterday and never heard back.,general_complaint_feedback,Broken commitment requiring immediate supervisory outbound contact.,ESCALATE,gold_amzn_0182,curated_evaluation_benchmark
183,Your packaging is ridiculously wasteful—a tiny lipstick arrived in a giant cardboard box.,general_complaint_feedback,Acknowledge environmental feedback with empathy and log packaging feedback.,AUTO_HANDLE,gold_amzn_0183,curated_evaluation_benchmark
184,I received a delivery at 4:30 AM that woke up my entire house and set off my alarms.,general_complaint_feedback,Quiet hours delivery violation requiring delivery time preference enforcement.,ESCALATE,gold_amzn_0184,curated_evaluation_benchmark
185,Your automated bot was completely useless and wasted 30 minutes of my time.,general_complaint_feedback,Acknowledge bot limitation with empathy and connect customer to human assistance.,AUTO_HANDLE,gold_amzn_0185,curated_evaluation_benchmark
186,A driver opened my front door and set the package inside my hallway without permission!,general_complaint_feedback,Severe trespassing/safety boundary breach requiring immediate security review.,ESCALATE,gold_amzn_0186,curated_evaluation_benchmark
187,I am closing my 15-year-old account because your service has completely degraded.,general_complaint_feedback,High-value customer churn risk requiring retention specialist review.,ESCALATE,gold_amzn_0187,curated_evaluation_benchmark
188,Why did the delivery driver mark my business address closed at 2 PM on a Tuesday?,general_complaint_feedback,Log delivery discrepancy and coordinate redelivery within business hours.,AUTO_HANDLE,gold_amzn_0188,curated_evaluation_benchmark
189,The customer service representative could barely understand basic English and hung up.,general_complaint_feedback,Support quality complaint requiring review of contact transcript.,ESCALATE,gold_amzn_0189,curated_evaluation_benchmark
190,Your driver blocked my driveway for 45 minutes so I missed an important doctor appointment.,general_complaint_feedback,Courier misconduct complaint requiring local depot operations manager contact.,ESCALATE,gold_amzn_0190,curated_evaluation_benchmark
191,I feel completely insulted by the automated responses I've been receiving to my complaint.,general_complaint_feedback,Escalation request requiring personalized human resolution.,ESCALATE,gold_amzn_0191,curated_evaluation_benchmark
192,The delivery person was smoking right in front of our children while handing us the package.,general_complaint_feedback,Unprofessional conduct complaint requiring driver discipline investigation.,ESCALATE,gold_amzn_0192,curated_evaluation_benchmark
193,I want to file a formal complaint with corporate headquarters regarding deceptive billing.,general_complaint_feedback,Formal corporate grievance requiring regulatory/executive customer relations.,ESCALATE,gold_amzn_0193,curated_evaluation_benchmark
194,Your website has had a checkout error for three straight days and nobody cares.,general_complaint_feedback,Log technical feedback with web engineering team and offer troubleshooting.,AUTO_HANDLE,gold_amzn_0194,curated_evaluation_benchmark
195,"Amazon customer support used to be world class, now it is the worst in the industry.",general_complaint_feedback,"Empathize with customer sentiment, thank them for loyalty, and offer specific help.",AUTO_HANDLE,gold_amzn_0195,curated_evaluation_benchmark
196,The driver left my package right in front of the outward swinging storm door so I was trapped.,general_complaint_feedback,Acknowledge hazard and update driver placement instructions.,AUTO_HANDLE,gold_amzn_0196,curated_evaluation_benchmark
197,"An agent promised me a $50 credit for my trouble, and the next agent called me a liar.",general_complaint_feedback,Critical dispute regarding agent integrity and promised compensation.,ESCALATE,gold_amzn_0197,curated_evaluation_benchmark
198,Your carrier forged my signature on a high-value delivery requiring direct signature.,general_complaint_feedback,Forgery allegation on signature-required delivery requiring courier security audit.,ESCALATE,gold_amzn_0198,curated_evaluation_benchmark
199,I've been waiting on hold on the telephone for 90 minutes. This is completely unacceptable.,general_complaint_feedback,Severe telephony hold escalation requiring priority callback.,ESCALATE,gold_amzn_0199,curated_evaluation_benchmark
200,The driver drove across my neighbor's lawn leaving deep tire ruts in the grass.,general_complaint_feedback,Third-party property damage requiring logistics claims handler.,ESCALATE,gold_amzn_0200,curated_evaluation_benchmark
